account_value,date,daily_return
1000000.0,2022-01-03,
1002354.3553417206,2022-01-04,0.002354355341720682
1006052.1071464542,2022-01-05,0.003689066431474597
996497.9021633151,2022-01-06,-0.009496729757108135
990962.8015457155,2022-01-07,-0.00555455320636733
988386.5430722887,2022-01-10,-0.002599752956829793
987198.2621940386,2022-01-11,-0.0012022430764349057
996995.3008223498,2022-01-12,0.00992408415158419
996230.7492591479,2022-01-13,-0.0007668557339952642
969358.7102116549,2022-01-14,-0.026973709722849404
953728.2667073214,2022-01-18,-0.01612451958152894
951752.4153584444,2022-01-19,-0.002071713105136763
944441.3704823458,2022-01-20,-0.007681666742442861
932580.4270924532,2022-01-21,-0.012558686818044618
908769.2032231295,2022-01-24,-0.025532622364336954
913627.2632206881,2022-01-25,0.005345757735108592
936272.9147862399,2022-01-26,0.02478653218569904
932175.0957936251,2022-01-27,-0.00437673559482421
926061.2503804171,2022-01-28,-0.006558687783868367
942490.4278477633,2022-01-31,0.017740918822159113
955606.0285252535,2022-02-01,0.013915898018657336
960110.6255406344,2022-02-02,0.004713864166734805
961551.6952580416,2022-02-03,0.0015009413280846484
945684.2116459811,2022-02-04,-0.016501955838996607
950026.7614125216,2022-02-07,0.0045919660210698154
947968.1550511324,2022-02-08,-0.002166893023443195
965785.5800160372,2022-02-09,0.018795383441908786
955388.6929615939,2022-02-10,-0.010765212558123682
949790.105421921,2022-02-11,-0.0058600102564725365
929653.0701359713,2022-02-14,-0.02120156355703906
941037.3535527193,2022-02-15,0.012245733147617122
939333.453116318,2022-02-16,-0.0018106618509547978
933627.3080662692,2022-02-17,-0.006074674580276218
923170.1022633517,2022-02-18,-0.011200621182103632
907959.6611851656,2022-02-22,-0.0164763146476411
906444.84598436,2022-02-23,-0.0016683727984438956
856182.8909138644,2022-02-24,-0.055449545874921125
897211.7231205904,2022-02-25,0.04792064013675068
899862.0101307833,2022-02-28,0.0029539148251149783
903544.8174122775,2022-03-01,0.004092635581936399
893876.8884724581,2022-03-02,-0.010699999328763754
912631.5843647921,2022-03-03,0.020981296344269262
890450.200217148,2022-03-04,-0.024304861378518616
885918.4359730685,2022-03-07,-0.00508929555293991
863395.8556202853,2022-03-08,-0.025422859981511725
877211.6501835787,2022-03-09,0.016001692008780655
867490.2863682711,2022-03-10,-0.011082118908558924
879279.7684315646,2022-03-11,0.013590333227418538
866977.9476155245,2022-03-14,-0.013990792530099605
868672.8000325167,2022-03-15,0.001954896801762418
893207.9210576022,2022-03-16,0.028244375815804412
895932.9777516329,2022-03-17,0.0030508648991873777
906720.444510361,2022-03-18,0.012040484083753134
917563.9626606905,2022-03-21,0.011959053328928881
916171.2041768038,2022-03-22,-0.0015178870798806532
914483.8486012423,2022-03-23,-0.0018417470095860589
907050.9370030367,2022-03-24,-0.00812798564958217
918183.2065876925,2022-03-25,0.01227303686101422
916019.3857258761,2022-03-28,-0.0023566330186520767
933827.8559864962,2022-03-29,0.019441149977964978
929606.9801548922,2022-03-30,-0.004519972074665812
922301.0188054049,2022-03-31,-0.007859193729666258
911957.8965290987,2022-04-01,-0.011214475605483942
