account_rewards,date
2468.1161379090045,2022-04-04
-13580.046913574217,2022-04-05
-3715.7101223450154,2022-04-06
3889.90335025033,2022-04-07
-193.510352523881,2022-04-08
-5117.6564396972535,2022-04-11
-10153.152736679069,2022-04-12
16401.757516235346,2022-04-13
-8961.343894958496,2022-04-14
5722.850158691406,2022-04-18
19338.966369628906,2022-04-19
8569.18014907837,2022-04-20
-17011.732704162598,2022-04-21
-29213.322116851807,2022-04-22
4150.637912750244,2022-04-25
-3712.3420028686523,2022-04-26
7664.715465545654,2022-04-27
5553.871875762939,2022-04-28
-23784.536937713623,2022-04-29
414.7967987060547,2022-05-02
-2506.493907928467,2022-05-03
15752.929744720459,2022-05-04
-28896.183193206787,2022-05-05
-7053.988235473633,2022-05-06
1749.7603721618652,2022-05-09
-13188.00273513794,2022-05-10
-10271.907928466797,2022-05-11
4139.456340789795,2022-05-12
4647.960861206055,2022-05-13
11139.868629455566,2022-05-16
-844.8131414870732,2022-05-17
-11102.400769042899,2022-05-18
-269.912002945086,2022-05-19
1412.471106338664,2022-05-20
4253.457359313848,2022-05-23
2375.177122116089,2022-05-24
11298.910929832491,2022-05-25
8717.202095031738,2022-05-26
7086.908538818359,2022-05-27
7376.099708557129,2022-05-31
-9928.303260803223,2022-06-01
2050.3238525390625,2022-06-02
4916.006866455078,2022-06-03
-11308.480484008789,2022-06-06
8273.358436584473,2022-06-07
-7259.566299438477,2022-06-08
-27827.931922912598,2022-06-09
-28003.68186187744,2022-06-10
399.42225646972656,2022-06-13
-653.8154754638672,2022-06-14
-14603.766067504883,2022-06-15
-6707.747467041016,2022-06-16
16105.400848388672,2022-06-17
362.40882873535156,2022-06-21
15322.562057495117,2022-06-22
9434.792922973633,2022-06-23
16659.219078063965,2022-06-24
3009.459373474121,2022-06-27
-13448.011596679688,2022-06-28
-9589.816215515137,2022-06-29
1630.3636016845703,2022-06-30
-621.2145919799805,2022-07-01
