account_rewards,date
2354.3553417206276,2022-01-03
3697.7518047335325,2022-01-04
-9554.204983139061,2022-01-05
-5535.100617599557,2022-01-06
-2576.258473426802,2022-01-07
-1188.280878250138,2022-01-10
9797.038628311246,2022-01-11
-764.5515632019378,2022-01-12
-26872.039047493017,2022-01-13
-15630.443504333496,2022-01-14
-1975.8513488769531,2022-01-18
-7311.044876098633,2022-01-19
-11860.943389892578,2022-01-20
-23811.22386932373,2022-01-21
4858.059997558594,2022-01-24
22645.651565551758,2022-01-25
-4097.818992614746,2022-01-26
-6113.845413208008,2022-01-27
16429.17746734619,2022-01-28
13115.600677490234,2022-01-31
4504.597015380859,2022-02-01
1441.0697174072266,2022-02-02
-15867.483612060547,2022-02-03
4342.549766540527,2022-02-04
-2058.60636138916,2022-02-07
17817.424964904785,2022-02-08
-10396.88705444336,2022-02-09
-5598.587539672852,2022-02-10
-20137.035285949707,2022-02-11
11384.283416748047,2022-02-14
-1703.9004364013672,2022-02-15
-5706.145050048828,2022-02-16
-10457.20580291748,2022-02-17
-15210.441078186035,2022-02-18
-1514.815200805664,2022-02-22
-50261.955070495605,2022-02-23
41028.832206726074,2022-02-24
2650.287010192871,2022-02-25
3682.8072814941406,2022-02-28
-9667.928939819336,2022-03-01
18754.695892333984,2022-03-02
-22181.384147644043,2022-03-03
-4531.76424407959,2022-03-04
-22522.580352783203,2022-03-07
13815.794563293457,2022-03-08
-9721.363815307617,2022-03-09
11789.482063293457,2022-03-10
-12301.820816040039,2022-03-11
1694.8524169921875,2022-03-14
24535.12102508545,2022-03-15
2725.0566940307617,2022-03-16
10787.466758728027,2022-03-17
10843.51815032959,2022-03-18
-1392.7584838867188,2022-03-21
-1687.3555755615234,2022-03-22
-7432.911598205566,2022-03-23
11132.269584655762,2022-03-24
-2163.8208618164062,2022-03-25
17808.470260620117,2022-03-28
-4220.875831604004,2022-03-29
-7305.961349487305,2022-03-30
-10343.122276306152,2022-03-31
