date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-07-06,0,0,-57,0,0,0,0,0,1,-99,0,0,0,-98,36,-87,1,100,0,0,0,0,0,-100,100,-66,0,0,-50
2022-07-07,100,0,-100,95,70,-49,0,0,96,-22,0,0,-26,2,0,-65,100,100,0,100,0,100,-17,0,-91,-45,0,-72,0
2022-07-08,0,0,-100,52,-70,0,0,0,-4,100,0,82,0,100,100,65,-81,-47,0,100,100,100,18,-85,-100,-100,0,3,0
2022-07-11,-33,0,-43,59,0,51,0,0,-88,-81,97,-100,0,100,100,-87,100,43,0,-100,79,100,-82,-78,-100,-8,0,100,100
2022-07-12,100,0,8,-98,100,-100,0,0,-5,-39,2,85,12,14,-9,-100,-48,100,100,-37,100,32,-38,-37,-24,-81,12,51,-100
2022-07-13,0,0,-8,-42,68,-97,1,100,0,-100,100,100,-72,100,100,-26,-72,0,0,-63,65,0,-100,1,8,0,-12,86,-100
2022-07-14,0,0,0,0,-56,-40,1,-30,0,0,0,0,-23,-45,0,0,0,0,0,0,0,0,-81,-1,82,0,0,0,-100
2022-07-15,-37,0,0,-66,-100,0,2,-4,0,0,-59,0,-20,0,0,0,0,0,-100,0,0,68,0,0,100,0,0,0,100
2022-07-18,0,0,0,0,0,0,-4,-3,0,0,-24,0,0,-100,0,0,0,25,100,0,0,1,0,0,-10,0,0,100,-100
2022-07-19,0,0,0,0,0,0,0,-13,0,-52,-73,0,0,0,0,0,0,-3,-100,0,0,-22,0,40,100,0,0,-100,-34
2022-07-20,0,0,0,0,-12,0,2,0,0,-7,0,-80,0,-4,0,0,0,0,0,0,99,1,0,-40,0,0,0,0,-22
2022-07-21,0,0,0,0,0,0,-2,0,0,0,-43,0,-47,0,0,0,100,45,0,0,-11,0,0,0,0,0,0,1,100
2022-07-22,-100,0,0,0,0,0,0,-50,0,0,0,0,-4,0,-14,0,-100,-26,100,0,28,100,0,0,0,0,100,100,1
2022-07-25,0,0,0,0,0,0,0,0,0,0,0,0,-32,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0
2022-07-26,0,0,0,0,0,0,0,0,0,0,0,-27,1,-19,0,0,0,99,100,0,-9,100,0,0,-67,0,0,-14,-84
2022-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,21
2022-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-72,0,0,0,0,0,-100,0,0,0,83,0,0,-76,-54
2022-07-29,-100,0,0,0,0,28,0,0,0,0,0,100,0,4,0,0,100,0,0,0,0,0,0,0,-14,0,-81,0,-78
2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,1,0,-85,4,0,0,0,0,20,0,0,0,0
2022-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,4,0,0,-4,19,0,0,0,0,0,0,-53,0
2022-08-03,0,0,0,0,0,51,0,0,0,0,0,-60,100,-14,-74,0,100,0,-100,0,0,100,0,0,0,0,0,-100,0
2022-08-04,-12,0,0,0,0,0,0,0,0,0,0,-100,-23,0,0,0,6,0,0,0,-67,0,0,0,81,0,0,-28,0
2022-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,62,2,0,0,0,0,0,-100,0
2022-08-08,0,0,0,0,100,0,0,0,0,0,0,0,-23,100,-31,0,100,0,0,1,78,100,0,0,-100,0,0,0,1
2022-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0
2022-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,1,0,0,-55,-15,0,0,0,0,0,35,0,0,0,-1
2022-08-11,0,0,0,0,-100,0,0,0,0,0,0,0,-18,-4,0,0,0,0,0,0,74,2,0,0,0,0,0,0,0
2022-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,-24,0
2022-08-15,0,0,0,0,0,0,1,0,0,0,0,6,0,-100,0,0,-100,0,0,0,0,1,0,0,0,0,100,100,0
2022-08-16,-57,0,0,0,0,0,-1,0,0,0,0,-28,0,-61,-75,73,100,100,0,0,-17,100,0,0,-81,100,1,100,0
2022-08-17,0,0,0,0,0,1,0,0,0,0,0,0,0,-4,0,0,0,95,0,0,-19,0,0,0,0,-72,-86,-11,0
2022-08-18,0,0,0,0,0,-24,5,0,0,14,0,-100,-19,100,100,0,-58,100,0,0,-100,100,0,0,0,-28,100,-52,0
2022-08-19,0,0,0,0,0,55,0,100,0,0,0,0,0,0,100,-73,100,100,0,0,-100,100,0,0,-100,0,0,0,100
2022-08-22,0,0,0,0,15,0,-5,0,0,-14,0,0,-23,100,100,0,100,0,0,0,100,100,0,0,-100,0,-100,1,-54
2022-08-23,-100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,1,100,60,0,0,0,100,0,0,0,0,-15,-4,0
