date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-08-24,-9,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,-1,-100,0,0,0,73,0,0,0,0,0,0,-88,-46
2022-08-25,81,0,0,45,-15,100,0,0,0,0,0,0,-20,90,100,0,100,0,0,0,-100,100,0,0,-84,0,0,-45,100
2022-08-26,-34,0,0,0,0,100,0,0,0,35,0,0,1,0,0,0,-1,0,0,0,-26,100,0,0,-38,0,0,-76,-100
2022-08-29,-35,0,0,-45,0,-27,0,0,0,0,0,0,0,1,0,0,49,0,0,0,100,-100,0,0,0,0,0,-47,0
2022-08-30,-64,0,0,0,0,0,0,0,0,0,0,-14,0,2,0,0,0,0,0,0,57,1,0,0,0,0,0,-65,0
2022-08-31,0,0,0,0,0,-100,0,0,0,-35,0,-100,-5,-20,-17,0,100,73,0,0,100,2,0,0,0,0,0,-21,0
2022-09-01,0,0,0,0,0,-48,0,0,0,0,0,0,0,-21,0,0,83,0,0,0,-79,0,0,0,0,100,0,100,0
2022-09-02,0,0,0,0,0,0,0,0,0,0,0,-64,0,4,0,0,0,0,0,0,56,100,0,0,0,-86,100,0,0
2022-09-06,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2022-09-07,0,0,0,0,0,-11,0,0,0,0,0,0,0,-17,-13,0,0,0,0,0,0,0,84,0,0,0,-100,-47,-31
2022-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,100,2,0,0,0,0,-50,0,0,-14,0,100,-17
2022-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72,-34,0,0,0,0,-90,0
2022-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-13,0,0,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,-74,0,0,0,100,0,0,0,0,0,0,0
2022-09-14,0,0,0,0,0,0,-2,0,0,0,0,0,0,1,0,0,-100,0,0,0,-21,1,0,0,22,0,0,0,0
2022-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-19,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-36,0,0,0,25,0,0,0,0,0,0,-93,0
2022-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,-15,0,0,-18,1
2022-09-21,0,0,0,0,0,-100,2,-45,0,0,28,0,0,-19,1,0,100,0,0,0,-20,100,0,0,0,0,0,100,-1
2022-09-22,0,0,0,0,0,0,0,0,0,0,-28,0,0,1,0,0,3,0,0,0,46,0,0,0,-7,0,0,0,0
2022-09-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-26,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-2,0,0,0,0,2,0,0,0
2022-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,20,0,0,0,0,-2,0,-100,0
2022-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-10,0,0,0,0,0,0,44,0,0,0,0,0,0,0
2022-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
